2026-05-14 10:20:25 | INFO | master | Epoch 2 | batch 700/3402 | train_loss=0.951288 | train_loss_pointwise=0.951288 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:29 | INFO | master | Epoch 2 | batch 800/3402 | train_loss=1.056306 | train_loss_pointwise=1.056306 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:34 | INFO | master | Epoch 2 | batch 900/3402 | train_loss=0.971212 | train_loss_pointwise=0.971212 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:38 | INFO | master | Epoch 2 | batch 1000/3402 | train_loss=1.007870 | train_loss_pointwise=1.007870 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:43 | INFO | master | Epoch 2 | batch 1100/3402 | train_loss=0.957700 | train_loss_pointwise=0.957700 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:47 | INFO | master | Epoch 2 | batch 1200/3402 | train_loss=0.991175 | train_loss_pointwise=0.991175 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:52 | INFO | master | Epoch 2 | batch 1300/3402 | train_loss=0.978869 | train_loss_pointwise=0.978869 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:20:57 | INFO | master | Epoch 2 | batch 1400/3402 | train_loss=1.020002 | train_loss_pointwise=1.020002 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:01 | INFO | master | Epoch 2 | batch 1500/3402 | train_loss=1.040242 | train_loss_pointwise=1.040242 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:05 | INFO | master | Epoch 2 | batch 1600/3402 | train_loss=0.960604 | train_loss_pointwise=0.960604 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:10 | INFO | master | Epoch 2 | batch 1700/3402 | train_loss=0.936991 | train_loss_pointwise=0.936991 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:15 | INFO | master | Epoch 2 | batch 1800/3402 | train_loss=1.007263 | train_loss_pointwise=1.007263 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
2026-05-14 10:21:19 | INFO | master | Epoch 2 | batch 1900/3402 | train_loss=1.014109 | train_loss_pointwise=1.014109 | train_loss_ranknet=0.000000 | train_loss_lambda=0.000000 | lr=0.00001000
